Complete_Name,VulnerabilityIndex,RiskOfImpact
Sicyonia brevirostris,41,63
Sicyonia ingentis,55,60
Siliqua patula,52,59
Sillago sihama,47,59
Solea senegalensis,46,59
Solea solea,42,58
Solen vagina,65,70
Solenocera agassizii,72,67
Somniosus microcephalus,50,61
Somniosus pacificus,38,67
Somniosus rostratus,40,75
Spaniblennius riodourensis,71,68
Sparidentex hasta,77,73
Sparisoma cretense,46,76
Sparus aurata,41,55
Spectrunculus grandis,38,58
Sphoeroides maculatus,25,46
Sphyraena barracuda,49,77
Sphyraena jello,72,82
Sphyraena obtusata,63,80
Sphyrna lewini,61,80
Sphyrna zygaena,38,74
Spicara maena,32,52
Spisula ovalis,62,65
Spisula solida,62,66
Spisula solidissima,49,57
Spondyliosoma cantharus,43,55
Spratelloides gracilis,59,79
Sprattus fuegensis,65,75
Sprattus sprattus,15,57
Sprattus sprattus balticus,64,71
Squalus acanthias,61,74
Squatina argentina,63,77
Squatina squatina,47,70
Squilla mantis,27,55
Stenotomus chrysops,46,59
Stephanolepis cirrhifer,65,65
Stereolepis gigas,63,67
Stramonita haemastoma,39,63
Strangomera bentincki,70,72
Stromateus fiatola,33,51
Symbolophorus barnardi,26,48
Symphodus melops,43,67
Synagrops japonicus,0,48
Takifugu vermicularis,73,74
Tapes pullastra,45,55
Tapes rhomboides,48,60
Tautoga onitis,53,72
Tautogolabrus adspersus,68,80
Tawera gayi,80,73
Tegillarca granosa,55,61
Tenualosa ilisha,78,85
Tenualosa toli,89,89
Tetrapturus albidus,56,79
Tetrapturus angustirostris,42,72
Tetrapturus audax,45,72
Tetrapturus pfluegeri,63,84
Thalassoma pavo,23,70
Thaleichthys pacificus,31,59
Thenus orientalis,50,60
Theragra chalcogramma,48,58
Thunnus alalunga,39,69
Thunnus albacares,39,69
Thunnus atlanticus,75,86
Thunnus maccoyii,38,64
Thunnus obesus,44,72
Thunnus orientalis,38,72
Thunnus thynnus,38,71
Thunnus tonggol,75,83
Thyrsites atun,44,58
Thyrsitops lepidopoides,35,54
Tivela mactroides,65,74
Todarodes pacificus,17,60
Todarodes sagittatus,31,60
Tonna galea,45,62
Totoaba macdonaldi,93,82
Trachinotus blochii,91,88
Trachinotus carolinus,70,71
Trachinotus mookalee,89,80
Trachinotus ovatus,40,68
Trachinus draco,41,56
Trachurus capensis,34,73
Trachurus declivis,36,57
Trachurus japonicus,28,49
Trachurus lathami,10,44
Trachurus mediterraneus,63,80
Trachurus murphyi,35,55
Trachurus picturatus,37,53
Trachurus symmetricus,38,66
Trachurus trachurus,25,61
Trachurus trecae,47,54
Trachyrincus scabrus,13,45
Trachysalambria curvirostris,34,54
Trachyscorpia cristulata cristulata,29,51
Trematomus eulepidotus,58,57
Trematomus hansoni,55,55
Trichiurus lepturus,61,65
Trigla lyra,13,42
Trigloporus lastoviza,17,45
Tripterophycis gilchristi,7,41
Trisopterus esmarkii,36,50
Trisopterus luscus,34,54
Trisopterus minutus,19,47
Turbo cornutus,72,71
Tylosurus crocodilus crocodilus,90,88
Umbrina canariensis,38,55
Umbrina canosai,49,59
Umbrina cirrosa,64,66
Upogebia pugettensis,70,65
Urophycis brasiliensis,29,52
Urophycis chuss,57,61
Urophycis tenuis,46,53
Valamugil seheli,80,86
Variola louti,71,82
Venus gallina,51,61
Venus verrucosa,39,57
Xiphias gladius,39,71
Xiphopenaeus kroyeri,42,62
Zanclorhynchus spinifer,36,52
Zearaja nasuta,69,66
Zenopsis conchifer,38,57
Zenopsis nebulosa,25,47
Zeus faber,38,55
Zidona dufresnei,46,57
Zoarces americanus,64,62
Zoarces viviparus,84,79
Zygochlamys patagonica,56,64
